CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,VANGUARD 2,1959-001A,EARTH,TEME,UTC,SGP4,2026-04-13T07:01:10.958880,11.90347611,0.14443206,32.8673,330.7473,47.5661,323.8376,0,U,11,999,52773,0.00042817407000,0.00000796,0.0000000000000,8102.505,120.973,2894.631,554.108,PAYLOAD,MEDIUM,US,1959-02-17,AFETR,,5130957,319335311,0 VANGUARD 2,1 00011U 59001A   26103.29248795  .00000796  00000-0  42817-3 0  9992,2 00011  32.8673 330.7473 1444321  47.5661 323.8376 11.90347611527737
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,VANGUARD R/B,1959-001B,EARTH,TEME,UTC,SGP4,2026-04-13T07:07:55.894080,11.48594965,0.16462667,32.8962,93.9114,121.5399,255.6482,0,U,12,999,52386,0.00012348623000,0.00000211,0.0000000000000,8297.691,125.371,3285.577,553.534,ROCKET BODY,MEDIUM,US,1959-02-17,AFETR,,5130957,319334811,0 VANGUARD R/B,1 00012U 59001B   26103.29717470  .00000211  00000-0  12349-3 0  9993,2 00012  32.8962  93.9114 1646267 121.5399 255.6482 11.48594965523862
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,VANGUARD 3,1959-007A,EARTH,TEME,UTC,SGP4,2026-04-13T04:48:54.741312,11.61921618,0.16373038,33.3387,140.9176,65.1838,310.9989,0,U,20,999,47705,0.00016270807000,0.00000386,0.0000000000000,8234.122,123.933,3204.163,507.811,PAYLOAD,MEDIUM,US,1959-09-18,AFETR,,5130957,319334812,0 VANGUARD 3,1 00020U 59007A   26103.20063358  .00000386  00000-0  16271-3 0  9999,2 00020  33.3387 140.9176 1637304  65.1838 310.9989 11.61921618477052
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,EXPLORER 7,1959-009A,EARTH,TEME,UTC,SGP4,2026-04-13T06:37:05.188800,15.27622978,0.00797714,50.2441,60.7846,222.8855,136.5866,0,U,22,999,79042,0.00021863677000,0.00006199,0.0000000000000,6861.057,94.264,537.654,428.191,PAYLOAD,MEDIUM,US,1959-10-13,AFETR,,5130957,319335313,0 EXPLORER 7,1 00022U 59009A   26103.27575450  .00006199  00000-0  21864-3 0  9993,2 00022  50.2441  60.7846 0079771 222.8855 136.5866 15.27622978790422
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T06:36:34,18 SPCS,TIROS 1,1960-002B,EARTH,TEME,UTC,SGP4,2026-04-12T22:15:17.030016,14.78694747,0.00222990,48.3796,334.7736,346.5924,13.4395,0,U,29,999,53247,0.00006540300000,0.00000271,0.0000000000000,7011.584,97.383,649.084,617.814,PAYLOAD,MEDIUM,US,1960-04-01,AFETR,,5130191,319316874,0 TIROS 1,1    29U 60002B   26102.92728044  .00000271  00000-0  65403-4 0  9998,2    29  48.3796 334.7736 0022299 346.5924  13.4395 14.78694747532473
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,TRANSIT 2A,1960-007A,EARTH,TEME,UTC,SGP4,2026-04-13T05:54:06.111648,14.35932857,0.02521626,66.6930,171.9691,208.0875,150.6433,0,U,45,999,37072,0.00006868700100,0.00000177,0.0000000000000,7150.105,100.283,952.269,591.671,PAYLOAD,MEDIUM,US,1960-06-22,AFETR,,5130957,319335314,0 TRANSIT 2A,1 00045U 60007A   26103.24590407  .00000177  00000-0  68687-4 0  9999,2 00045  66.6930 171.9691 0252163 208.0875 150.6433 14.35932857370722
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,SOLRAD 1 (GREB),1960-007B,EARTH,TEME,UTC,SGP4,2026-04-13T05:19:34.578336,14.54791851,0.01977721,66.6891,45.3545,340.1109,19.2365,0,U,46,999,44755,0.00018714942000,0.00000925,0.0000000000000,7088.178,98.983,850.227,569.858,PAYLOAD,MEDIUM,US,1960-06-22,AFETR,,5130957,319334814,0 SOLRAD 1 (GREB),1 00046U 60007B   26103.22192799  .00000925  00000-0  18715-3 0  9997,2 00046  66.6891  45.3545 0197772 340.1109  19.2365 14.54791851447551
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T02:48:46,18 SPCS,THOR ABLESTAR R/B,1960-007C,EARTH,TEME,UTC,SGP4,2026-04-12T17:08:44.820960,14.45250831,0.02195912,66.6648,222.5329,187.9460,171.8150,0,U,47,999,44134,0.00013185971000,0.00000510,0.0000000000000,7119.339,99.637,897.539,584.870,ROCKET BODY,LARGE,US,1960-06-22,AFETR,,5130161,319283467,0 THOR ABLESTAR R/B,1 00047U 60007C   26102.71440765  .00000510  00000-0  13186-3 0  9997,2 00047  66.6648 222.5329 0219591 187.9460 171.8150 14.45250831441348
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,DELTA 1 R/B,1960-009B,EARTH,TEME,UTC,SGP4,2026-04-13T04:09:53.903520,12.20163495,0.01130995,47.2339,3.5240,181.2451,178.8070,0,U,50,999,92976,0.00013112653000,-0.00000071,0.0000000000000,7969.966,118.017,1681.971,1501.691,ROCKET BODY,MEDIUM,US,1960-08-12,AFETR,,5130957,319334815,0 DELTA 1 R/B,1 00050U 60009B   26103.17354055 -.00000071  00000-0  13113-3 0  9993,2 00050  47.2339   3.5240 0113099 181.2451 178.8070 12.20163495929761
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-04-13T10:08:50,18 SPCS,ECHO 1 DEB (METAL OBJ),1960-009C,EARTH,TEME,UTC,SGP4,2026-04-13T01:50:31.505856,12.18377831,0.01073084,47.2124,250.8319,3.6986,356.4575,0,U,51,999,92323,-0.00062235352000,-0.00000150,0.0000000000000,7977.752,118.190,1685.225,1514.009,DEBRIS,MEDIUM,US,1960-08-12,AFETR,,5130957,319335316,0 ECHO 1 DEB (METAL OBJ),1 00051U 60009C   26103.07675354 -.00000150  00000-0 -62235-3 0  9999,2 00051  47.2124 250.8319 0107308   3.6986 356.4575 12.18377831923232
